text,category
"Pionowa, symetryczna kompozycja w mrocznej, stalowo-błękitnej gamie z pojedynczymi krwawymi rozbłyskami,  przedstawiająca ujęte frontalnie popiersie opancerzonego w kosmiczny skafander wojownika, nad którym unosi się wyłaniający z mroku, przypominający Obcego, pozbawiony oczu stwór o wielu kończynach z rozwartą, zębatą paszczą i szponami po lewej stronie. Nastrój opresji, zagrożenia,  rozmyte tło, ostre kontrasty światłocieniowe na przyłbicy skafandra, czaszce i szponach Obcego.",nemesis_1
"Czerwone, plazmatycznie płonące tło, stopniowo rozjaśniające się ku centralnie usytuowanemu świetlistemu okręgowi. Na pierwszym planie ciemna, obrócona tyłem sylwetka uzbrojonej człekokształtnej postaci w lekkim skafandrze, w lewej ręce trzymającej broń przypominającą karabin M16, prawą zaś unosząca w kierunku okręgu.",nemesis_2
"Ujęte w skrócie perspektywicznym od prawej do lewej strony zbliżenie na kokpit sterowniczy z centralnie usytuowanym ekranem prezentującym ostrzeżenie o przekroczeniu norm termicznych. W drugim planie, niejako za szybą fioletowo-purpurowego  kokpitu nieokreślona, błękitna przestrzeń rozbłyskująca eksplozjami. Całość kompozycji usiana refleksami i odbiciami sugerującymi szereg nakładających się na siebie szklanych i połyskliwych planów.",nemesis_3
"Nad wypełniającą niemal całą kompozycję, połyskującą w ostatnim planie powierzchnią nakreślonej planety, unosi się gigantyczny, płaski pojazd kosmiczny z widoczną na burcie nazwą.   Jego ocieniony spód kontrastuje ze świetlistym tłem, dookoła w pewnym oddaleniu  krążą inne niezidentyfikowane obiekty latające. Od dołu, z lewej strony wyłania się z mroku inny gigantyczny pojazd o cylindrycznym kształcie.",nemesis_4
"W centralnej części kompozycji, na tle rozjaśniającego się od lewej do prawej strony czerwonego, plazmatycznego tła, widoczna jest sylwetka uzbrojonej w broń przypominającą karabin M16 postaci w lekkim skafandrze, stojącej na tle rozjaśniającego się od lewej do prawej strony czerwonego, plazmatycznego tła. W prawej ręce trzyma ona broń, lewą zaś wyciąga w kierunku centralnie usytuowanego, świetlistego okręgu.",nemesis_5
"Z mrocznej, fioletowo-czarnej przestrzeni o zaburzonym horyzoncie, opadającym diagonalnie  od prawej do lewej strony, wyłania w centrum kompozycji złowroga postać otoczona stertą organicznych kształtów, demoniczny obcy zwrócony w stronę widza, o podłużnym, połyskującym zielonkawo czerepie pozbawionym oczu i okrytym pancerzem. Zza jego pleców wyłaniają się ostro zakończone, owadzie kończyny. Całość oplatają śluzowate, pajęcze nici.",nemesis_6
"Na czerwonej, delikatnie żyłkowanej, kamiennej posadzce, stoi w dynamicznych pozach na ugiętych nogach dwóch zwróconych lekko w prawo pojedynkujących się średniowiecznych wojowników z zaciętymi minami. Ich zwrócone do widza sylwetki pozbawione są cienia, pierwszy, rudowłosy uzbrojony jest w krótkie czekany, drugi o długich blond włosach w zakrwawiony miecz. W głębi za ich plecami scenie przygląda się ukazany jedynie w zarysie ciemnoszary, anonimowy tłum.",zombicide_1
"Wąsko kadrowana scena walki ukazuje na tle oświetlonej ogniem średniowiecznej zabudowy szachulcowej  pięć walczących postaci. Długowłosego, wrzeszczącego mężczyznę z obnażonym torsem, trzymającego za plecami miecz gotowy do uderzenia, osłanianego z lewej strony przez orientalnie odzianego brodacza, od przodu przez pochylonego, ubranego w wilczą skórę Wikinga, z prawej zaś przez długowłosą kobietę dobywającą jedną ręką miecza, a drugą unoszącą nad głową owinięty rzemieniem kostur oraz brodatego konkwistadora, mierzącego z masywnej kuszy w otaczający ich zewsząd, atakujący, niewyraźny tłum groteskowych postaci, mutantów o zielonej skórze.  Dynamizm kompozycji podkreśla gwałtowne poucinanie sylwetek, widocznych w kadrze tylko częściowo.",zombicide_2
"Utrzymana w pastelowych, jasnych barwach błękitów i oranżyt kompozycja podzielona jest na wysokości trzech czwartych lustrem wody. W górnej partii, nieco po prawej, ponad jej powierzchnią wyłania się niewielka tropikalna wyspa, porośnięte dwoma palmami. Jej podstawę stanowi zajmująca dolną partię, wysoka  architektoniczna struktura, rodzaj antycznej metropolii osadzonej na ostro wznoszącym sie  stożku wulkanicznym. Ponad dachami kilku pojedynczych budowli w lewym dolnym rogu unosi się odwrócony tyłem do widza żółw z niewielką, centralną budowlą na grzbiecie.",sen_1
"Utrzymana w gamie spatynowanych bieli i szarości kompozycja ukazuje rozległe pole rzadko usiane pozbawionymi liści drzewami, których wijące się gałęzie wychylone są zdecydowanie w lewą stronę. Ich korzenie wrastają płynnie w grzbiety ryb o wachlarzowatych płetwach skrzelowych, zwróconych szeroko otwartymi gębami w prawą stronę. W tle, na horyzoncie, widoczne są zarysy górskiego łańcucha.",sen_2
